Name,Perf Issue,Severity,Median Ratio,CI Lower,CI Upper,Perf Change Found
${}/bookings,basic-auth,0,1.0586377989407552,0.9543097257936117,1.1557640499922937,False
${}/destinations,basic-auth,0,1.0046153644964635,0.9895043199654058,1.02025198542273,False
${}/flights/${}/seats,basic-auth,0,0.9835288549418744,0.9129523197657635,1.0894380233604404,False
${}/flights?from=${},basic-auth,0,1.006241570476797,0.9900930008968678,1.0229998457199951,False
${}/bookings,basic-auth,1,1.0313676815572186,0.939698948787691,1.126811000765346,False
${}/destinations,basic-auth,1,1.0103762020986327,0.9948677600776342,1.028586172691045,False
${}/flights/${}/seats,basic-auth,1,1.0273299957431685,0.9383059944623928,1.1253923376625783,False
${}/flights?from=${},basic-auth,1,1.0101640825613536,0.9913280743185603,1.0314528845862918,False
${}/bookings,basic-auth,2,1.0369317209543003,0.9423350429738634,1.1548004146341537,False
${}/destinations,basic-auth,2,1.0210289996262925,0.99997294003152,1.040503026984333,False
${}/flights/${}/seats,basic-auth,2,1.0210830643612692,0.9252354518326968,1.1218393252198502,False
${}/flights?from=${},basic-auth,2,1.019451866102985,1.0020917887379763,1.0375742149178062,True
${}/bookings,basic-auth,4,1.0389817941206188,0.9496039643069629,1.141181633140629,False
${}/destinations,basic-auth,4,0.9889437266920404,0.9752844215806314,1.0014025698084243,False
${}/flights/${}/seats,basic-auth,4,0.9791889388676459,0.9112442267292954,1.0431309088962366,False
${}/flights?from=${},basic-auth,4,0.981872000014908,0.9696793529691076,0.9991147185926466,True
${}/bookings,basic-auth,8,0.9940575131041655,0.8998162198450955,1.0869725765304599,False
${}/destinations,basic-auth,8,1.0143564613838643,1.0000680801745216,1.0316995343660633,True
${}/flights/${}/seats,basic-auth,8,1.0790160943547398,1.0093257588535651,1.1564399190356374,True
${}/flights?from=${},basic-auth,8,1.016857652943947,0.9960007144506435,1.035972498239203,False
${}/bookings,basic-auth,16,1.0355649566196359,0.9400411795573588,1.1431049807987665,False
${}/destinations,basic-auth,16,1.005170822548436,0.9873908520156465,1.0217728952209844,False
${}/flights/${}/seats,basic-auth,16,0.9844230605763208,0.9057318868831099,1.1030475415097096,False
${}/flights?from=${},basic-auth,16,1.0114183721797563,0.9962833098952932,1.0295209908958178,False
${}/bookings,basic-auth,32,1.0462370085532393,0.9468796653748189,1.1391321590130263,False
${}/destinations,basic-auth,32,0.9835991882160043,0.9700688823570691,1.0003108845246516,False
${}/flights/${}/seats,basic-auth,32,0.9827651612143503,0.8876799433399175,1.0908221395713924,False
${}/flights?from=${},basic-auth,32,0.9946302462527624,0.9776900267098336,1.0112530998277434,False
${}/bookings,basic-auth,64,1.0339013451800436,0.9293557703060815,1.1426173494727365,False
${}/destinations,basic-auth,64,0.9855354851361253,0.9671112966585894,1.004861536041808,False
${}/flights/${}/seats,basic-auth,64,0.9511089736106443,0.8719595291207654,1.0454155054032754,False
${}/flights?from=${},basic-auth,64,0.9787604534570489,0.9607309762828105,0.9939317075345299,True
${}/bookings,basic-auth,128,1.1190185154291015,1.029350748890376,1.2156060790692045,True
${}/destinations,basic-auth,128,1.0326038544155882,1.0121156217203102,1.0518796428186192,True
${}/flights/${}/seats,basic-auth,128,1.009005281058469,0.933117504376345,1.1038665288487615,False
${}/flights?from=${},basic-auth,128,1.0368827010804815,1.0199664426822517,1.058327589982046,True
${}/bookings,basic-auth,256,0.9671122797635416,0.8948849960944492,1.0666488290741079,False
${}/destinations,basic-auth,256,0.9895744731839257,0.9689191864928538,1.0048714811912638,False
${}/flights/${}/seats,basic-auth,256,0.9923350561999666,0.9101595589542826,1.0848222659316986,False
${}/flights?from=${},basic-auth,256,0.9843768890441695,0.9664577675710235,1.0027099972716527,False
${}/bookings,basic-auth,512,1.207211167312705,1.1013749290941888,1.3184795082616425,True
${}/destinations,basic-auth,512,0.9946175475002788,0.9795203845972087,1.0123746975273997,False
${}/flights/${}/seats,basic-auth,512,0.9373983663254503,0.8724347494592332,1.034019847946006,False
${}/flights?from=${},basic-auth,512,1.0205371013785782,1.00227488084456,1.0366766779367012,True
${}/bookings,basic-auth,1024,1.2589683992051783,1.1769918462333242,1.3797193377050174,True
${}/destinations,basic-auth,1024,1.0155277855230562,0.9978229117853503,1.029391794022058,False
${}/flights/${}/seats,basic-auth,1024,1.04462081364795,0.9744900555229122,1.1323141305759423,False
${}/flights?from=${},basic-auth,1024,1.0152153321697654,0.9979924336957612,1.0306860319091535,False
${}/bookings,basic-auth,2048,1.6640381029349334,1.5372109566824301,1.824499739774509,True
${}/destinations,basic-auth,2048,1.0442055124776408,1.0246061673297118,1.0603786518421847,True
${}/flights/${}/seats,basic-auth,2048,1.0625276991821062,0.97141142931552,1.1634043176408115,False
${}/flights?from=${},basic-auth,2048,1.0358783818385915,1.0207393416252357,1.0533647910361248,True
${}/bookings,clean-path,0,1.0825870879996706,0.9731669475116339,1.1909056200672303,False
${}/destinations,clean-path,0,1.0293486786464494,1.0135156377358268,1.048150298259174,True
${}/flights/${}/seats,clean-path,0,1.0400781137918582,0.9419271707770898,1.1695640683668767,False
${}/flights?from=${},clean-path,0,1.033003476035105,1.0161703991468423,1.0558008273293802,True
${}/bookings,clean-path,1,1.0257156880790232,0.938223759143766,1.1289863839039187,False
${}/destinations,clean-path,1,0.9952547678917331,0.9743936636998033,1.0126137616602167,False
${}/flights/${}/seats,clean-path,1,1.0544747908813985,0.9669788192389234,1.14119276254608,False
${}/flights?from=${},clean-path,1,1.0042474006303665,0.9871556075841038,1.0234094870632342,False
${}/bookings,clean-path,2,0.9601231477889344,0.8944094578878518,1.0292959613952797,False
${}/destinations,clean-path,2,0.9850281014878324,0.9690451010518143,1.0005032606188817,False
${}/flights/${}/seats,clean-path,2,0.9207591784842875,0.8471205183556018,1.0034348044676251,False
${}/flights?from=${},clean-path,2,0.9861572848251637,0.9739386317712126,0.9995930489180623,True
${}/bookings,clean-path,4,1.046550501837508,0.953507406708287,1.131952453129058,False
${}/destinations,clean-path,4,1.0200742490365553,1.0040613236879046,1.0347660900504143,True
${}/flights/${}/seats,clean-path,4,1.0375136985095759,0.9488086693026059,1.1056284588310938,False
${}/flights?from=${},clean-path,4,1.0153224698602423,0.9983939394180608,1.031714195948519,False
${}/bookings,clean-path,8,1.0736626950407375,0.9906189041092682,1.1654485825101593,False
${}/destinations,clean-path,8,1.0174100473241732,0.9988428794201513,1.0341067134764468,False
${}/flights/${}/seats,clean-path,8,1.0387184869409063,0.942445573246523,1.1290656266933359,False
${}/flights?from=${},clean-path,8,1.0231303824003597,1.003316157534825,1.0417851813652526,True
${}/bookings,clean-path,16,1.0255959630636136,0.908609476049663,1.095636907439019,False
${}/destinations,clean-path,16,1.0093759472764887,0.9926774661770129,1.024638985666845,False
${}/flights/${}/seats,clean-path,16,1.0248911047235896,0.9570337022486107,1.1122898202717335,False
${}/flights?from=${},clean-path,16,1.012443278486043,0.9979524645599149,1.0328007347096484,False
