1-2-4,service.BenchmarkRequestFlights,2,pkg/service/service_test.go,970,0.001275093,507728,2673
1-2-5,service.BenchmarkRequestFlights,2,pkg/service/service_test.go,909,0.001302547,539787,2690
1-2-1,service.BenchmarkRequestFlights,1,pkg/service/service_test.go,922,0.001285294,530270,2677
1-2-2,service.BenchmarkRequestFlights,1,pkg/service/service_test.go,940,0.001286683,524166,2686
1-2-3,service.BenchmarkRequestFlights,1,pkg/service/service_test.go,927,0.001258567,531196,2690
1-2-4,service.BenchmarkRequestFlights,1,pkg/service/service_test.go,938,0.00126655,524432,2683
1-2-5,service.BenchmarkRequestFlights,1,pkg/service/service_test.go,868,0.001326873,561610,2694
1-2-1,service.BenchmarkRequestDestinations,2,pkg/service/service_test.go,186,0.006711954,848717,13771
1-2-2,service.BenchmarkRequestDestinations,2,pkg/service/service_test.go,194,0.00653152,850620,13785
1-2-3,service.BenchmarkRequestDestinations,2,pkg/service/service_test.go,175,0.006620044,857454,13798
1-2-4,service.BenchmarkRequestDestinations,2,pkg/service/service_test.go,186,0.006450025,858473,13810
1-2-5,service.BenchmarkRequestDestinations,2,pkg/service/service_test.go,186,0.006304181,860765,13819
1-2-1,service.BenchmarkRequestDestinations,1,pkg/service/service_test.go,186,0.006459836,847288,13764
1-2-2,service.BenchmarkRequestDestinations,1,pkg/service/service_test.go,187,0.006375113,851542,13783
1-2-3,service.BenchmarkRequestDestinations,1,pkg/service/service_test.go,175,0.006556461,855935,13792
1-2-4,service.BenchmarkRequestDestinations,1,pkg/service/service_test.go,187,0.006345733,854381,13795
1-2-5,service.BenchmarkRequestDestinations,1,pkg/service/service_test.go,184,0.006291816,861026,13819
1-2-1,service.BenchmarkHandlerGetFlightSeats,2,pkg/service/service_flights_test.go,1190,0.000958924,192730,2517
1-2-2,service.BenchmarkHandlerGetFlightSeats,2,pkg/service/service_flights_test.go,1299,0.00096495,187227,2519
1-2-3,service.BenchmarkHandlerGetFlightSeats,2,pkg/service/service_flights_test.go,1266,0.00097961,189357,2520
