project;system;config_node_count;config_node_fraction;project_only;total;rank;name;additional_nodes;appBenchTime(ms)
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;true;3;1;service.BenchmarkRequestSeats.out__100000__0_00000__0_00000.dot;8;10
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;true;3;2;service.BenchmarkHandlerGetFlightsQuery.out__100000__0_00000__0_00000.dot;1;10
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;true;3;3;service.BenchmarkRequestDestinations.out__100000__0_00000__0_00000.dot;1;10
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;true;4;1;service.BenchmarkRequestDestinations.out__100000__0_00000__0_00000.dot;8;40
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;true;4;2;service.BenchmarkRequestCreateBooking.out__100000__0_00000__0_00000.dot;2;0
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;true;4;3;service.BenchmarkRequestFlights.out__100000__0_00000__0_00000.dot;1;0
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;true;4;4;service.BenchmarkHandlerGetFlightSeats.out__100000__0_00000__0_00000.dot;1;20
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;true;3;1;service.BenchmarkRequestSeats.out__100000__0_00000__0_00000.dot;8;40
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;true;3;2;service.BenchmarkHandlerGetFlightsQuery.out__100000__0_00000__0_00000.dot;1;40
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;true;3;3;service.BenchmarkHandlerGetDestinations.out__100000__0_00000__0_00000.dot;1;40
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;false;3;1;service.BenchmarkRequestSeats.out__100000__0_00000__0_00000.dot;8;13850
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;false;3;2;service.BenchmarkRequestFlights.out__100000__0_00000__0_00000.dot;1;9940
github.com/christophwitzko/flight-booking-service;pprof-v1-2.out;100000;0.00000;false;3;3;service.BenchmarkHandlerGetDestinations.out__100000__0_00000__0_00000.dot;1;15070
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;false;4;1;service.BenchmarkRequestDestinations.out__100000__0_00000__0_00000.dot;8;15030
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;false;4;2;service.BenchmarkRequestCreateBooking.out__100000__0_00000__0_00000.dot;2;15970
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;false;4;3;service.BenchmarkRequestFlights.out__100000__0_00000__0_00000.dot;1;9440
github.com/christophwitzko/flight-booking-service;pprof-v1-0.out;100000;0.00000;false;4;4;service.BenchmarkHandlerGetFlightSeats.out__100000__0_00000__0_00000.dot;1;12660
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;false;3;1;service.BenchmarkRequestSeats.out__100000__0_00000__0_00000.dot;8;12190
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;false;3;2;service.BenchmarkRequestFlights.out__100000__0_00000__0_00000.dot;1;8300
github.com/christophwitzko/flight-booking-service;pprof-v1-1.out;100000;0.00000;false;3;3;service.BenchmarkHandlerGetDestinations.out__100000__0_00000__0_00000.dot;1;13550
